moh_area,week,cases,avg_temperature_mean,avg_temperature_max,avg_temperature_min,avg_precipitation_sum,avg_relative_humidity_mean
MOH-Addalachchenai,1,5,25.88630867,28.27857018,23.9642849,7.62857151,87.35742188
MOH-Addalachchenai,2,3,25.95595169,28.04285812,24.2857151,16.32857132,82.07137299
MOH-Addalachchenai,3,8,25.66279793,28.63571358,22.8214283,2.471428633,83.07988739
MOH-Addalachchenai,4,11,26.67470169,29.4642849,23.37857056,0.742857099,72.72145844
MOH-Addalachchenai,5,4,26.04642868,29.22857285,23.54285812,6.642857075,86.89940643
MOH-Addalachchenai,6,3,27.08244133,29.63571358,24.37857056,0.885714233,73.09284973
MOH-Addalachchenai,7,5,27.39345169,29.87857056,25.1785717,2.771428585,78.92794037
MOH-Addalachchenai,8,1,27.47053528,30.72142982,24.3928566,0.600000024,77.9595108
MOH-Addalachchenai,9,4,27.55803871,30.40714455,25.11428642,1.985714316,76.65024567
MOH-Addalachchenai,10,4,27.09375,31.50714302,23.00714302,0.071428575,76.44051361
MOH-Addalachchenai,11,4,28.05059433,31.87142944,24.07857132,0.028571429,72.98697662
MOH-Addalachchenai,12,6,27.65654564,31.05000114,24.12857246,2.971428394,78.66326904
MOH-Addalachchenai,13,2,27.60029602,30.75,24.43571472,5.871428967,82.35661316
MOH-Addalachchenai,14,2,29.01577377,32.48571396,25.68571472,0.771428585,78.51744843
MOH-Addalachchenai,15,2,28.07351303,31.33571434,25.02142715,8.800000191,80.45875549
MOH-Addalachchenai,16,1,28.5273838,31.50714302,25.1428566,1.485714197,82.32141113
MOH-Addalachchenai,17,4,29.48690605,33.18571472,25.75,0.428571433,77.06175232
MOH-Addalachchenai,18,0,30.08184624,34.17142868,26.61428642,1.385714293,76.41841888
MOH-Addalachchenai,19,0,29.62767982,33.45714188,26.33571434,2.642857075,77.2610321
MOH-Addalachchenai,20,2,27.68214417,31.5714283,25.02857018,16.68571472,86.52477264
MOH-Addalachchenai,21,1,28.8922596,33.1071434,26.00714302,4.214285851,76.83390045
MOH-Addalachchenai,22,2,29.26309395,33.61428452,25.98571396,2.32857132,78.54999542
MOH-Addalachchenai,23,2,29.10000038,33.54999924,26.05714226,1.814285636,73.76646423
MOH-Addalachchenai,24,0,29.88244057,34.77857208,26.1428566,0.785714269,69.05110931
MOH-Addalachchenai,25,2,30.01666641,35.15000153,26.40714455,2.599999905,65.95989227
MOH-Addalachchenai,26,1,29.88571548,35.12142563,26.12142944,0.714285731,66.85608673
MOH-Addalachchenai,27,2,29.22857094,34.11428452,26.05714226,3.828571558,73.53410339
MOH-Addalachchenai,28,0,29.15297508,33.52857208,25.7142849,2.128571272,72.74723053
MOH-Addalachchenai,29,3,30.77083015,36.19285965,26.22142982,0.014285714,59.37930298
MOH-Addalachchenai,30,0,30.81011963,36.2857132,26.52857018,1.299999952,63.14511871
MOH-Addalachchenai,31,1,29.54732132,33.84285736,26.37857056,2.04285717,69.94290924
MOH-Addalachchenai,32,0,28.09642601,32.02142715,25.1428566,3,80.00800323
MOH-Addalachchenai,33,2,28.07261848,31.91428566,25.23571396,6.900000095,78.40907288
MOH-Addalachchenai,34,4,28.4113102,32.5357132,25.49285698,2.657142878,73.9101181
MOH-Addalachchenai,35,0,29.0574398,34.79285812,25.68571472,3.028571606,68.27015686
MOH-Addalachchenai,36,1,29.4407711,34.70000076,25.59285545,2.214285612,68.73555756
MOH-Addalachchenai,37,0,30.125,35.80714035,26.19285774,2.571428537,66.17919159
MOH-Addalachchenai,38,1,29.62708473,34.92142868,25.22857285,1.128571391,66.65376282
MOH-Addalachchenai,39,0,29.12142754,33.97142792,25.5,3.842856884,72.50405121
MOH-Addalachchenai,40,1,28.47678566,32.81428528,25.4285717,3.828571796,75.55821228
MOH-Addalachchenai,41,0,26.12619019,29.47857285,24.09285545,14.38571358,88.01707458
MOH-Addalachchenai,42,0,27.00595284,30.63571358,24.20714188,5.37142849,85.1138916
MOH-Addalachchenai,43,0,26.47291565,30.20714188,23.91428566,14.97142887,87.43874359
MOH-Addalachchenai,44,0,26.26309395,29.86428642,23.79285812,13.71428585,88.44327545
MOH-Addalachchenai,45,0,26.23690414,29.76428604,23.64999962,6.085714817,84.53156281
MOH-Addalachchenai,46,3,26.63571358,29.65714455,23.98571587,7.414286137,85.26256561
MOH-Addalachchenai,47,2,25.82648849,28.87857056,23.50714302,15.17142963,87.86238098
MOH-Addalachchenai,48,1,25.69047546,28.2857151,23.55000114,39.1428566,86.19554138
MOH-Addalachchenai,49,1,26.40476418,29.1428566,23.65714455,0.58571434,83.31578827
MOH-Addalachchenai,50,0,25.90297508,28.8214283,23.7857151,9.500000954,85.88018036
MOH-Addalachchenai,51,1,25.84255981,29.05714226,23.52857018,17,89.42457581
MOH-Addalachchenai,52,1,25.78333473,28.8571434,23.07857132,2.700000286,86.5841217
MOH-Addalachchenai,53,0,25.12395859,27.20000076,23.875,30.85000038,91.63002777
MOH-Addalachchenai,54,2,25.44881,27.83571,23.22857,8.185715,80.70685
MOH-Addalachchenai,55,1,24.99553,27.00714,23.44286,23.02857,90.44703
MOH-Addalachchenai,56,1,25.23572,27.16429,23.82857,21.77143,87.96706
MOH-Addalachchenai,57,1,25.57024,27.85,23.57857,5.942857,81.60144
MOH-Addalachchenai,58,0,25.95,28.48571,23.67143,4.457143,83.53111
MOH-Addalachchenai,59,0,26.42083,29.15714,23.55,0.614286,75.7137
MOH-Addalachchenai,60,1,26.55774,29.85714,22.97857,0.614286,75.2664
MOH-Addalachchenai,61,0,27.22024,30.14286,23.82143,2.2,73.51653
MOH-Addalachchenai,62,0,26.1003,29.05,23.82143,23.3,85.77715
MOH-Addalachchenai,63,2,26.09107,29.48571,22.97143,7.828571,81.94029
MOH-Addalachchenai,64,0,27.15208,30.04286,24.06429,3.814286,82.65301
MOH-Addalachchenai,65,0,27.91191,30.96428,24.82143,2.042857,79.45156
MOH-Addalachchenai,66,0,27.09702,30.69286,23.80714,3.985714,81.60314
MOH-Addalachchenai,67,1,26.74405,30.72857,24.05,13.48571,84.84167
MOH-Addalachchenai,68,0,27.65774,31.6,24.39286,4.328572,81.64984
MOH-Addalachchenai,69,1,28.0372,32.31429,24.72857,3.685714,81.98113
MOH-Addalachchenai,70,2,27.46071,31.62857,24.62857,5.614285,83.69367
MOH-Addalachchenai,71,0,27.49792,31.34286,24.60714,5.557143,84.5045
MOH-Addalachchenai,72,2,28.42232,32.2,24.87857,1.3,80.81053
MOH-Addalachchenai,73,0,28.1128,31.93571,25.11429,6.7,81.79157
MOH-Addalachchenai,74,1,28.84911,32.34286,25.67857,1.2,78.1058
MOH-Addalachchenai,75,3,29.28423,33.38572,25.66429,1.728572,74.71535
MOH-Addalachchenai,76,0,28.77292,33.1,25.08571,1.9,76.16732
MOH-Addalachchenai,77,1,28.65506,32.42143,25.78572,2.142857,71.81972
MOH-Addalachchenai,78,2,28.85595,32.99286,25.06429,0.942857,75.66577
MOH-Addalachchenai,79,2,28.95893,33.03571,25.25714,2.071429,74.99325
MOH-Addalachchenai,80,1,29.23363,34.15714,25.36429,1.671429,71.12872
MOH-Addalachchenai,81,2,29.41072,34.07857,25.42857,1.414286,70.65303
MOH-Addalachchenai,82,2,29.07351,33.45,25.45,1.257143,68.44384
MOH-Addalachchenai,83,1,29.84673,35.03571,25.77857,0.571429,61.91064
MOH-Addalachchenai,84,1,28.41905,32.52143,25.33571,5.385715,76.7439
MOH-Addalachchenai,85,1,28.81458,33.11428,25.08571,0.9,69.01459
MOH-Addalachchenai,86,0,29.67083,35.17143,25.05714,1.642857,60.90146
MOH-Addalachchenai,87,1,29.35536,34.52143,25.32857,1.042857,69.3489
MOH-Addalachchenai,88,0,29.79613,34.77143,25.64286,4.728571,65.49001
MOH-Addalachchenai,89,1,28.98393,34.06429,24.93571,4.171428,72.17165
MOH-Addalachchenai,90,5,28.79226,33.44286,25.34286,4.128572,71.77966
MOH-Addalachchenai,91,1,28.88601,33.49286,25.44286,4.242857,70.60025
MOH-Addalachchenai,92,3,29.20595,35.01429,25.45,3.485714,66.84547
MOH-Addalachchenai,93,2,28.23036,33.07143,24.79286,8.371428,74.84557
MOH-Addalachchenai,94,3,27.84494,32.04286,24.45714,2.357143,76.71935
MOH-Addalachchenai,95,3,26.70208,30.34286,24.2,20.52857,84.62682
MOH-Addalachchenai,96,1,27.74613,31.91429,24.29286,1.657143,75.93801
MOH-Addalachchenai,97,1,28.07203,31.86429,24.23572,0.357143,77.55058
MOH-Addalachchenai,98,3,26.86547,31.35714,24.12857,10.48571,81.68086
MOH-Addalachchenai,99,0,25.42679,29.24286,23.4,23.3,88.73915
MOH-Addalachchenai,100,0,25.49167,28.17143,23.42857,32.58572,88.45239
MOH-Addalachchenai,101,1,25.48452,28.54286,23.08571,20.77143,86.65633
MOH-Addalachchenai,102,1,25.69405,28.92143,23.47857,8.157144,86.51665
MOH-Addalachchenai,103,0,25.06399,27.84286,22.96428,9.871428,88.38641
MOH-Addalachchenai,104,2,25.31935,27.25714,23.35,9.885714,85.8549
MOH-Addalachchenai,105,0,25.46161,27.99286,23.17143,2.028571,83.63087
MOH-Addalachchenai,106,0,25.05,28.95,23,15.3,90.31021
MOH-Agalawatta,1,0,25.47678566,29.80714226,22.8214283,16.34285736,88.41287994
MOH-Agalawatta,2,7,25.48750114,29.1785717,22.77857018,6.985713959,86.58429718
MOH-Agalawatta,3,5,25.54077339,30.27857018,22.14999962,3.128571272,83.0952301
MOH-Agalawatta,4,2,26.26904678,31.50714302,22.20714188,0.58571434,80.28299713
MOH-Agalawatta,5,3,26.15595055,30.83571434,23.2857151,11.32857227,85.97499847
MOH-Agalawatta,6,1,26.3386879,31.36428642,22.12857056,0.528571427,80.55954742
MOH-Agalawatta,7,2,27.32023811,32.67856979,23.33571434,1.600000024,78.75236511
MOH-Agalawatta,8,0,27.93035698,34,23.69999886,1.300000072,74.94726563
MOH-Agalawatta,9,0,28.32023811,34.16428375,24.2857151,1.58571434,72.80280304
MOH-Agalawatta,10,4,27.98631096,33.72857285,24.29285812,1.757142782,73.75592804
MOH-Agalawatta,11,1,28.3699398,34.23571396,24.11428642,1.37142849,71.11817932
MOH-Agalawatta,12,0,27.9553566,34.02857208,24.59285545,8.557143211,74.87909698
MOH-Agalawatta,13,1,27.45029831,32.23571396,24.19285774,5.599999905,81.88313293
MOH-Agalawatta,14,0,27.44107056,32.37142944,24.38571358,6.714285851,82.95552826
MOH-Agalawatta,15,1,27.66934395,33.0357132,24.47857285,10.22857189,80.55503845
MOH-Agalawatta,16,0,27.31041527,31.7142849,24.31428528,6.314285278,85.4203949
MOH-Agalawatta,17,0,27.78214455,32.12857056,24.63571358,5.971428394,84.45008087
MOH-Agalawatta,18,0,27.66488075,31.6785717,24.88571358,8.942857742,87.05394745
MOH-Agalawatta,19,2,27.11547661,31.08571434,24.35000038,13.21428585,88.00022125
MOH-Agalawatta,20,3,26.32500076,30.04285812,24.13571358,19.55714226,89.68271637
MOH-Agalawatta,21,0,25.98184395,28.6785717,24.16428566,39.58571625,90.55788422
MOH-Agalawatta,22,4,25.97678566,28.55000114,23.9642849,34.59999847,90.80992889
MOH-Agalawatta,23,2,26.26428413,29.36428642,23.80714226,10.21428585,87.45941925
MOH-Agalawatta,24,0,26.55952263,29.62857056,24.04285812,7.271428108,86.44795227
MOH-Agalawatta,25,5,25.8258934,29.08571434,23.7142849,16.64285851,88.63985443
MOH-Agalawatta,26,1,26.03273964,29.0714283,23.64999962,13.17142963,87.76831055
MOH-Agalawatta,27,0,25.99583244,28.9642849,23.48571396,11.17142773,88.5031662
MOH-Agalawatta,28,1,26.20059586,29.2857151,23.65714455,8.814286232,86.01216888
MOH-Agalawatta,29,0,26.30029488,29.34285545,24,9.600000381,87.03659821
MOH-Agalawatta,30,2,26.84851265,29.94285774,24.4285717,10.0714283,85.89069366
MOH-Agalawatta,31,2,25.83660698,29.05000114,23.31428528,19.20000076,88.37941742
MOH-Agalawatta,32,2,26.22023582,28.94999886,24,7.442857265,85.68021393
MOH-Agalawatta,33,1,25.46220207,28.01428604,23.57857132,20.7142849,90.07629395
MOH-Agalawatta,34,0,25.6830349,28.68571472,23.38571358,15.81428528,87.37822723
MOH-Agalawatta,35,0,25.89374924,29.09285545,23.42142868,13.05714321,85.20168304
MOH-Agalawatta,36,0,25.86904907,28.94285774,23.57857132,17.19999886,87.78629303
MOH-Agalawatta,37,0,25.9425602,28.94999886,23.19999886,9.742857933,87.13026428
MOH-Agalawatta,38,1,25.93452263,29.1428566,23.39999962,10.20000172,86.2490921
MOH-Agalawatta,39,1,26.01666641,29.5,23.42142868,9.842857361,86.72805023
MOH-Agalawatta,40,0,26.61458397,30.14999962,24.1071434,4.871428967,83.69103241
MOH-Agalawatta,41,1,24.83006096,28.1071434,22.86428642,28.7142849,90.17926025
MOH-Agalawatta,42,0,25.53214455,28.52142715,23.27857018,11.5,87.70580292
MOH-Agalawatta,43,0,25.24612999,28.31428528,22.80000114,13.68571281,88.9329071
MOH-Agalawatta,44,1,25.54821396,29,23.1071434,9.62857151,88.32337952
MOH-Agalawatta,45,0,25.27083206,29.76428604,22.43571472,8.485714912,87.50634766
MOH-Agalawatta,46,0,25.38720322,30.88571358,22.6428566,12.18571472,90.05714417
MOH-Agalawatta,47,1,24.59762001,29.37142944,22.29285812,15.21428585,93.94732666
MOH-Agalawatta,48,0,24.59940529,27.70714188,22.6785717,11.60000038,90.30131531
MOH-Agalawatta,49,0,25.76875114,30.27857018,22.74285698,2.242857218,84.00348663
MOH-Agalawatta,50,0,25.40059471,30.22857285,22.30000114,7.014286518,88.08995819
MOH-Agalawatta,51,2,25.15148926,29.30000114,22.74285698,7.200000286,90.29628754
MOH-Agalawatta,52,0,25.27172661,30.58571434,21.4642849,3.157142639,83.70729828
MOH-Agalawatta,53,0,24.7895813,30.60000038,22.42499924,19.70000076,91.99572754
MOH-Agalawatta,54,1,24.30952,28.13571,21.94286,11.8,91.422
MOH-Agalawatta,55,0,24.82589,29.87857,21.77857,10.62857,89.7578
MOH-Agalawatta,56,5,24.4128,28.83571,21.96428,16.32857,92.31189
MOH-Agalawatta,57,4,24.39018,28.74286,22.01429,5.142857,92.25875
MOH-Agalawatta,58,0,25.275,30.55,22.15,5.2,87.72533
MOH-Agalawatta,59,0,25.75655,31.55,21.33571,0.542857,79.46623
MOH-Agalawatta,60,0,25.99792,31.90714,21.93571,1.4,81.67181
MOH-Agalawatta,61,2,26.06458,31.99286,21.8,1,80.60535
MOH-Agalawatta,62,2,25.03185,30.8,22.31429,21.77143,91.76775
MOH-Agalawatta,63,2,25.87292,31.41429,22,3.128572,83.46865
MOH-Agalawatta,64,0,25.90506,31.37857,22.15,3.014286,85.47248
MOH-Agalawatta,65,5,25.86786,32.14286,22.35,6.371428,87.96532
MOH-Agalawatta,66,0,25.97143,31.21428,22.69286,5.557143,86.4275
MOH-Agalawatta,67,0,25.24434,30.4,22.74286,14.44286,91.90876
MOH-Agalawatta,68,0,25.2503,29.07857,23.04286,12.92857,92.58991
MOH-Agalawatta,69,0,26.49494,30.75,23.61429,3.385714,87.06487
MOH-Agalawatta,70,0,25.92054,30.65714,23.25714,7.471428,89.57573
MOH-Agalawatta,71,0,25.97054,30.46428,23.49286,7.914286,90.44017
MOH-Agalawatta,72,0,26.29316,30.32143,23.50714,7.185714,87.82996
MOH-Agalawatta,73,1,25.62827,29.44286,23.32857,14.34286,91.69476
MOH-Agalawatta,74,1,25.9753,29.25714,23.92143,10.97143,91.78126
MOH-Agalawatta,75,0,26.20595,29.52143,23.85714,13.1,90.3005
MOH-Agalawatta,76,2,26.12232,29.49286,23.56429,9.971429,87.86001
MOH-Agalawatta,77,0,24.76429,27.85714,23.04286,30.47143,93.80986
MOH-Agalawatta,78,0,25.54226,28.7,23.34286,9.057142,90.52185
MOH-Agalawatta,79,2,25.59673,29.05,23.15,8.728572,90.01988
MOH-Agalawatta,80,0,26.09792,29.38571,23.47857,6.957143,87.70045
MOH-Agalawatta,81,1,25.63036,28.80714,23.02143,20.45714,89.64577
MOH-Agalawatta,82,0,24.60625,27.09286,22.96428,34.15714,94.16297
MOH-Agalawatta,83,1,25.35089,29.02857,22.93571,10.5,88.18969
MOH-Agalawatta,84,0,25.31429,28.24286,23.37857,9.871428,90.44049
MOH-Agalawatta,85,0,25.34881,28.82143,22.87857,5.628572,87.5059
MOH-Agalawatta,86,1,25.27202,29.01429,22.55,9.400001,88.09821
MOH-Agalawatta,87,4,25.8125,29.67143,23.00714,2.785714,86.41833
MOH-Agalawatta,88,3,25.22619,28.62857,22.96428,16.81429,90.32672
MOH-Agalawatta,89,2,25.70714,29.23571,23.14286,5.128571,87.14679
MOH-Agalawatta,90,3,25.75119,29.29286,23.41429,6.842857,87.61151
MOH-Agalawatta,91,0,24.7122,28.73571,22.49286,14.85714,91.94501
MOH-Agalawatta,92,0,24.90774,28.41429,22.52857,22.44286,91.03535
MOH-Agalawatta,93,1,25.98215,30.1,23.1,6.057143,85.38244
MOH-Agalawatta,94,0,25.65536,30.65,22.75714,9.328572,86.26521
MOH-Agalawatta,95,0,24.4881,28.73571,22.45714,18.87143,94.06544
MOH-Agalawatta,96,2,25.3253,29.05,22.92857,7.157143,88.48565
MOH-Agalawatta,97,1,26.40446,30.77143,23.23571,0.957143,81.95072
MOH-Agalawatta,98,1,25.19286,29.31429,22.37857,7.285714,87.11827
MOH-Agalawatta,99,0,24.84583,30.42143,22.42143,11.78571,91.68453
MOH-Agalawatta,100,2,24.72113,29.77143,22.18571,15.55714,91.83073
MOH-Agalawatta,101,4,24.03155,27.00714,21.78572,37.55714,90.06083
MOH-Agalawatta,102,2,25.0119,30.62857,21.93571,11.94286,87.77535
MOH-Agalawatta,103,0,24.57679,29.98571,21.71428,14.25714,90.82369
MOH-Agalawatta,104,3,24.77887,29.91429,22.20714,10.2,91.1131
MOH-Agalawatta,105,2,25.43988,30.62857,21.94286,1.285714,83.39806
MOH-Agalawatta,106,2,25.2125,29.85,22.45,2.4,86.47466
MOH-Akkaraipathu,1,7,25.91880989,28.31106949,23.99678421,7.62857151,87.36018372
MOH-Akkaraipathu,2,11,25.988451,28.07535744,24.31821251,16.32857132,82.07512665
MOH-Akkaraipathu,3,9,25.69529533,28.66821289,22.85392761,2.471428633,83.08348846
MOH-Akkaraipathu,4,8,26.707201,29.49678421,23.41107178,0.742857099,72.72692108
MOH-Akkaraipathu,5,8,26.07892799,29.26107216,23.57535744,6.642857075,86.90226746
MOH-Akkaraipathu,6,5,27.11493874,29.66821289,24.41107178,0.885714233,73.09825897
MOH-Akkaraipathu,7,4,27.425951,29.91107178,25.21107101,2.771428585,78.93235016
MOH-Akkaraipathu,8,4,27.50303459,30.75392723,24.42535591,0.600000024,77.96403503
MOH-Akkaraipathu,9,4,27.59053421,30.43964195,25.14678574,1.985714316,76.6550293
MOH-Akkaraipathu,10,3,27.12625122,31.53964233,23.03964233,0.071428575,76.44516754
MOH-Akkaraipathu,11,5,28.08309364,31.90392876,24.11107063,0.028571429,72.99228668
MOH-Akkaraipathu,12,2,27.68904686,31.08250046,24.16107178,2.971428394,78.66759491
MOH-Akkaraipathu,13,0,27.63279724,30.78249931,24.46821404,5.871428967,82.36032867
MOH-Akkaraipathu,14,0,29.04827309,32.51821518,25.71821404,0.771428585,78.52183533
MOH-Akkaraipathu,15,0,28.10600853,31.36821365,25.05392838,8.800000191,80.46272278
MOH-Akkaraipathu,16,0,28.5598793,31.53964233,25.17535591,1.485714197,82.32512665
MOH-Akkaraipathu,17,0,29.51940536,33.21821594,25.78249931,0.428571433,77.06634521
MOH-Akkaraipathu,18,0,30.11434364,34.2039299,26.64678574,1.385714293,76.42314148
MOH-Akkaraipathu,19,1,29.66018105,33.4896431,26.36821365,2.642857075,77.26558685
MOH-Akkaraipathu,20,0,27.71464157,31.60392761,25.06106949,16.68571472,86.52764893
MOH-Akkaraipathu,21,1,28.92476082,33.13964462,26.03964233,4.214285851,76.83861542
MOH-Akkaraipathu,22,1,29.29559517,33.64678574,26.01821518,2.32857132,78.55438232
MOH-Akkaraipathu,23,2,29.13249779,33.58250046,26.08964348,1.814285636,73.77166748
MOH-Akkaraipathu,24,1,29.91494179,34.8110733,26.17535591,0.785714269,69.0570755
MOH-Akkaraipathu,25,2,30.04916382,35.18250275,26.43964195,2.599999905,65.96628571
MOH-Akkaraipathu,26,3,29.91821289,35.15392685,26.15392876,0.714285731,66.86226654
MOH-Akkaraipathu,27,3,29.26106834,34.14678574,26.08964348,3.828571558,73.53931427
MOH-Akkaraipathu,28,1,29.1854744,33.5610733,25.74678421,2.128571272,72.75254822
MOH-Akkaraipathu,29,1,30.80333328,36.22536087,26.25392723,0.014285714,59.38616943
MOH-Akkaraipathu,30,1,30.84261703,36.31821442,26.56106949,1.299999952,63.15167618
MOH-Akkaraipathu,31,0,29.57982063,33.87535858,26.41107178,2.04285717,69.94876099
MOH-Akkaraipathu,32,0,28.12892723,32.05392838,25.17535591,3,80.01210022
MOH-Akkaraipathu,33,1,28.1051178,31.94678688,25.26821518,6.900000095,78.41353607
MOH-Akkaraipathu,34,2,28.4438076,32.56821442,25.52535629,2.657142878,73.91538239
MOH-Akkaraipathu,35,2,29.08993912,34.82535934,25.71821404,3.028571606,68.27617645
MOH-Akkaraipathu,36,1,29.47327232,34.73250198,25.62535477,2.214285612,68.74147034
MOH-Akkaraipathu,37,0,30.15749741,35.83964157,26.22535706,2.571428537,66.18544006
MOH-Akkaraipathu,38,1,29.65958214,34.9539299,25.26107216,1.128571391,66.6599884
MOH-Akkaraipathu,39,0,29.15392876,34.00392914,25.53249931,3.842856884,72.50933075
MOH-Akkaraipathu,40,0,28.50928688,32.8467865,25.46107101,3.828571796,75.56310272
MOH-Akkaraipathu,41,0,26.15869141,29.51107216,24.12535477,14.38571358,88.01964569
MOH-Akkaraipathu,42,0,27.03845024,30.66821289,24.23964119,5.37142849,85.11707306
MOH-Akkaraipathu,43,0,26.50541496,30.23964119,23.94678688,14.97142887,87.44147491
MOH-Akkaraipathu,44,0,26.29559326,29.89678574,23.82535744,13.71428585,88.44581604
MOH-Akkaraipathu,45,2,26.26940346,29.79678535,23.68249893,6.085714817,84.53487396
MOH-Akkaraipathu,46,0,26.66821289,29.68964195,24.01821518,7.414286137,85.2657547
MOH-Akkaraipathu,47,0,25.85898399,28.91107178,23.53964233,15.17142963,87.86504364
MOH-Akkaraipathu,48,0,25.72297478,28.31821251,23.58250046,39.1428566,86.19852448
MOH-Akkaraipathu,49,0,26.43725967,29.17535591,23.68964195,0.58571434,83.31937408
MOH-Akkaraipathu,50,2,25.9354744,28.85392761,23.81821251,9.500000954,85.88321686
MOH-Akkaraipathu,51,0,25.87505722,29.08964348,23.56106949,17,89.42692566
MOH-Akkaraipathu,52,3,25.81583214,28.88964272,23.11107063,2.700000286,86.58703613
MOH-Akkaraipathu,53,1,25.1564579,27.23249817,23.90749931,30.85000038,91.63192749
MOH-Akkaraipathu,54,1,25.48131,27.86821,23.26107,8.185715,80.71088
MOH-Akkaraipathu,55,4,25.02803,27.03964,23.47536,23.02857,90.4492
MOH-Akkaraipathu,56,4,25.26822,27.19679,23.86107,21.77143,87.96973
MOH-Akkaraipathu,57,3,25.60274,27.8825,23.61107,5.942857,81.60535
MOH-Akkaraipathu,58,0,25.9825,28.51822,23.70393,4.457143,83.53462
MOH-Akkaraipathu,59,3,26.45333,29.18964,23.5825,0.614286,75.71868
MOH-Akkaraipathu,60,3,26.59024,29.88964,23.01107,0.614286,75.27142
MOH-Akkaraipathu,61,2,27.25274,30.17536,23.85393,2.2,73.52184
MOH-Akkaraipathu,62,0,26.1328,29.0825,23.85393,23.3,85.7802
MOH-Akkaraipathu,63,1,26.12357,29.51822,23.00393,7.828571,81.94398
MOH-Akkaraipathu,64,0,27.18458,30.07536,24.09678,3.814286,82.65665
MOH-Akkaraipathu,65,2,27.9444,30.99678,24.85393,2.042857,79.45581
MOH-Akkaraipathu,66,2,27.12952,30.72536,23.83964,3.985714,81.60696
MOH-Akkaraipathu,67,0,26.77655,30.76107,24.0825,13.48571,84.84489
MOH-Akkaraipathu,68,0,27.69024,31.6325,24.42536,4.328572,81.65367
MOH-Akkaraipathu,69,0,28.0697,32.34679,24.76107,3.685714,81.98486
MOH-Akkaraipathu,70,0,27.49321,31.66107,24.66107,5.614285,83.69712
MOH-Akkaraipathu,71,3,27.53041,31.37536,24.63964,5.557143,84.50782
MOH-Akkaraipathu,72,2,28.45482,32.2325,24.91107,1.3,80.81449
MOH-Akkaraipathu,73,0,28.1453,31.96821,25.14679,6.7,81.79539
MOH-Akkaraipathu,74,0,28.88161,32.37536,25.71107,1.2,78.11031
MOH-Akkaraipathu,75,1,29.31672,33.41822,25.69679,1.728572,74.72039
MOH-Akkaraipathu,76,0,28.80541,33.1325,25.11821,1.9,76.17207
MOH-Akkaraipathu,77,0,28.68756,32.45393,25.81821,2.142857,71.82533
MOH-Akkaraipathu,78,0,28.88845,33.02536,25.09678,0.942857,75.67065
MOH-Akkaraipathu,79,0,28.99143,33.06821,25.28964,2.071429,74.99824
MOH-Akkaraipathu,80,1,29.26613,34.18964,25.39679,1.671429,71.13429
MOH-Akkaraipathu,81,0,29.44321,34.11107,25.46107,1.414286,70.6586
MOH-Akkaraipathu,82,1,29.10601,33.4825,25.4825,1.257143,68.44982
MOH-Akkaraipathu,83,2,29.87922,35.06821,25.81107,0.571429,61.91743
MOH-Akkaraipathu,84,0,28.45155,32.55393,25.36821,5.385715,76.74851
MOH-Akkaraipathu,85,0,28.84708,33.14679,25.11821,0.9,69.02049
MOH-Akkaraipathu,86,1,29.70333,35.20393,25.08964,1.642857,60.90829
MOH-Akkaraipathu,87,1,29.38785,34.55393,25.36107,1.042857,69.35466
MOH-Akkaraipathu,88,0,29.82863,34.80393,25.67536,4.728571,65.49644
MOH-Akkaraipathu,89,0,29.01642,34.09679,24.96821,4.171428,72.17688
MOH-Akkaraipathu,90,4,28.82476,33.47536,25.37536,4.128572,71.78515
MOH-Akkaraipathu,91,0,28.91851,33.52536,25.47536,4.242857,70.60598
MOH-Akkaraipathu,92,0,29.23845,35.04679,25.4825,3.485714,66.8517
MOH-Akkaraipathu,93,3,28.26286,33.10393,24.82536,8.371428,74.85046
MOH-Akkaraipathu,94,3,27.87744,32.07536,24.48964,2.357143,76.72398
MOH-Akkaraipathu,95,4,26.73458,30.37535,24.2325,20.52857,84.63004
MOH-Akkaraipathu,96,0,27.77863,31.94679,24.32536,1.657143,75.94282
MOH-Akkaraipathu,97,0,28.10452,31.89679,24.26822,0.357143,77.55509
MOH-Akkaraipathu,98,0,26.89798,31.38964,24.16107,10.48571,81.68463
MOH-Akkaraipathu,99,0,25.45929,29.27536,23.4325,23.3,88.74162
MOH-Akkaraipathu,100,1,25.52417,28.20393,23.46107,32.58572,88.45492
MOH-Akkaraipathu,101,0,25.51702,28.57536,23.11821,20.77143,86.65926
MOH-Akkaraipathu,102,0,25.72655,28.95393,23.51107,8.157144,86.51958
MOH-Akkaraipathu,103,1,25.09649,27.87536,22.99678,9.871428,88.38897
MOH-Akkaraipathu,104,1,25.35184,27.28964,23.3825,9.885714,85.85801
MOH-Akkaraipathu,105,0,25.49411,28.02536,23.20393,2.028571,83.63441
MOH-Akkaraipathu,106,1,25.0825,28.9825,23.0325,15.3,90.31239
MOH-Akmeemana,1,0,25.22619247,29.4285717,22.6428566,19.74285698,90.63014984
MOH-Akmeemana,2,8,25.14494133,28.6428566,22.47857285,8.357142448,87.73277283
MOH-Akmeemana,3,14,25.21011925,29.92142868,21.49285698,2.12857151,84.12532043
MOH-Akmeemana,4,11,25.90565491,30.85000038,22.19285774,1.199999928,80.53032684
MOH-Akmeemana,5,7,26.00625038,30.90714455,22.92142868,3.971428394,86.70359802
